site_id,COMID,status,comments
BRANA-27370000,62104146,AUTO-MATCH,
BRANA-27380000,62085997,AUTO-MATCH,
BRANA-27500000,62084395,AUTO-MATCH,
BRANA-27540000,62087479,AUTO-MATCH,
BRANA-27550000,62085805,MATCHED,
BRANA-27660000,62072508,AUTO-MATCH,
BRANA-28150000,62070363,AUTO-MATCH,
BRANA-28240000,62071408,AUTO-MATCH,
BRANA-28300000,62068766,AUTO-MATCH,
BRANA-28840000,62071994,AUTO-MATCH,
BRANA-28850000,62053225,AUTO-MATCH,
BRANA-29020000,62073383,AUTO-MATCH,
BRANA-29050000,62053121,AUTO-MATCH,
BRANA-29070100,62071267,AUTO-MATCH,
BRANA-29100000,62054150,AUTO-MATCH,
BRANA-29700000,62037847,AUTO-MATCH,
BRANA-30055000,61041279,AUTO-MATCH,
BRANA-30058000,61037571,AUTO-MATCH,
BRANA-30075000,61046201,AUTO-MATCH,
BRANA-30080000,61046157,AUTO-MATCH,
BRANA-30300000,61046183,AUTO-MATCH,
BRANA-30400000,61046689,MATCHED,
BRANA-31020000,62039642,AUTO-MATCH,
BRANA-31490000,62024199,AUTO-MATCH,
BRANA-31520000,62024085,AUTO-MATCH,
BRANA-31680000,62038602,AUTO-MATCH,
BRANA-31700000,62038577,MATCHED,
BRANA-32350000,63000346,AUTO-MATCH,
BRANA-32450002,63000411,AUTO-MATCH,
BRANA-32540000,63001046,MATCHED,
BRANA-32550000,63001535,MATCHED,
BRANA-32620000,63000232,AUTO-MATCH,
BRANA-32740000,63000335,AUTO-MATCH,
BRANA-32830000,63001526,AUTO-MATCH,
BRANA-32850000,63001451,AUTO-MATCH,
BRANA-33025000,63003928,AUTO-MATCH,
BRANA-33070000,63003862,AUTO-MATCH,
BRANA-33075000,63003901,AUTO-MATCH,
BRANA-33080000,63001137,AUTO-MATCH,
BRANA-33170000,63003782,AUTO-MATCH,
BRANA-33190000,63001118,AUTO-MATCH,
BRANA-33205000,63007415,AUTO-MATCH,
BRANA-33214000,63008040,AUTO-MATCH,
BRANA-33215000,63007400,AUTO-MATCH,
BRANA-33222000,63008003,AUTO-MATCH,
BRANA-33250000,63007374,AUTO-MATCH,
BRANA-33260000,63007359,MATCHED,
BRANA-33273000,63003725,AUTO-MATCH,
BRANA-33281000,63003704,AUTO-MATCH,
BRANA-33286000,63003695,AUTO-MATCH,
BRANA-33290000,63003688,AUTO-MATCH,
BRANA-33321000,63007139,MATCHED,
BRANA-33330000,63007655,AUTO-MATCH,
BRANA-33333000,63007093,AUTO-MATCH,
BRANA-33365000,63003618,AUTO-MATCH,
BRANA-33365500,63003612,AUTO-MATCH,
BRANA-33380000,63003591,AUTO-MATCH,
BRANA-33410000,63011628,AUTO-MATCH,
BRANA-33420000,63011599,AUTO-MATCH,
BRANA-33430000,63007339,AUTO-MATCH,
BRANA-33450000,63007324,AUTO-MATCH,
BRANA-33460000,63007309,AUTO-MATCH,
BRANA-33480000,63007307,AUTO-MATCH,
BRANA-33490000,63007421,MATCHED,
BRANA-33520000,63007397,AUTO-MATCH,
BRANA-33530000,63007290,MATCHED,
BRANA-33550000,63003761,AUTO-MATCH,
BRANA-33590000,63003740,AUTO-MATCH,
BRANA-33620000,63003696,MATCHED,
BRANA-33630000,63003681,AUTO-MATCH,
BRANA-33631000,63004338,AUTO-MATCH,
BRANA-33638000,63004275,AUTO-MATCH,
BRANA-33661000,63001508,AUTO-MATCH,
BRANA-33680000,63001180,AUTO-MATCH,
BRANA-33700000,63001607,AUTO-MATCH,
BRANA-33720000,63004421,AUTO-MATCH,
BRANA-33730000,63001222,AUTO-MATCH,
BRANA-33750000,63001331,AUTO-MATCH,
BRANA-33760000,63001293,AUTO-MATCH,
BRANA-33770000,63001227,AUTO-MATCH,
BRANA-33780000,63001211,AUTO-MATCH,
BRANA-33790000,63001747,AUTO-MATCH,
BRANA-34010000,63018771,AUTO-MATCH,
BRANA-34020000,63018768,MATCHED,
BRANA-34030000,63019330,AUTO-MATCH,
BRANA-34040500,63014899,AUTO-MATCH,
BRANA-34060000,63014877,AUTO-MATCH,
BRANA-34070000,63011017,AUTO-MATCH,
BRANA-34080000,63015341,AUTO-MATCH,
BRANA-34090000,63011392,AUTO-MATCH,
BRANA-34130000,63015001,AUTO-MATCH,
BRANA-34140000,63011251,AUTO-MATCH,
BRANA-34142000,63015554,AUTO-MATCH,
BRANA-34145000,63011712,AUTO-MATCH,
BRANA-34160000,63011099,AUTO-MATCH,
BRANA-34170000,63011082,AUTO-MATCH,
BRANA-34230000,63019608,MATCHED,
BRANA-34233000,63018838,MATCHED,
BRANA-34243500,63018869,AUTO-MATCH,
BRANA-34251000,63018794,AUTO-MATCH,
BRANA-34270000,63011058,AUTO-MATCH,
BRANA-34311000,63010964,AUTO-MATCH,
BRANA-34340000,63011356,AUTO-MATCH,
BRANA-34420000,63011565,MATCHED,
BRANA-34450000,63015111,AUTO-MATCH,
BRANA-34465000,63011631,AUTO-MATCH,
BRANA-34471000,63011223,AUTO-MATCH,
BRANA-34479000,63011205,AUTO-MATCH,
BRANA-34564000,63014966,AUTO-MATCH,
BRANA-34571000,63011056,MATCHED,
BRANA-34600000,63011034,MATCHED,
BRANA-34620000,63007417,AUTO-MATCH,
BRANA-34660000,63007041,AUTO-MATCH,
BRANA-34690000,63007005,MATCHED,
BRANA-34730000,63004391,AUTO-MATCH,
BRANA-34740000,63004221,AUTO-MATCH,
BRANA-34742000,63007141,AUTO-MATCH,
BRANA-34750000,63007060,AUTO-MATCH,
BRANA-34751000,63007611,AUTO-MATCH,
BRANA-34760000,63007238,AUTO-MATCH,
BRANA-34770000,63007012,MATCHED,
BRANA-34789000,63006991,AUTO-MATCH,
BRANA-34820000,63003565,MATCHED,
BRANA-34879500,63001088,MATCHED,
BRANA-34930000,63003891,AUTO-MATCH,
BRANA-34933000,63004270,AUTO-MATCH,
BRANA-34936000,63004157,AUTO-MATCH,
BRANA-34940000,63003845,MATCHED,
BRANA-34948000,63004180,AUTO-MATCH,
BRANA-34976000,63003616,MATCHED,
BRANA-34979000,63004377,AUTO-MATCH,
BRANA-34980000,63001153,AUTO-MATCH,
BRANA-34988000,63001341,AUTO-MATCH,
BRANA-35050000,63001650,AUTO-MATCH,
BRANA-35125000,63001359,AUTO-MATCH,
BRANA-35156000,63001347,AUTO-MATCH,
BRANA-35170000,63001309,AUTO-MATCH,
BRANA-35205000,63001659,AUTO-MATCH,
BRANA-35210000,63004177,AUTO-MATCH,
BRANA-35235000,63004125,AUTO-MATCH,
BRANA-35240000,63004249,AUTO-MATCH,
BRANA-35251000,63004463,AUTO-MATCH,
BRANA-35255000,63004104,AUTO-MATCH,
BRANA-35257000,63004335,AUTO-MATCH,
BRANA-35258000,63004215,AUTO-MATCH,
BRANA-35260000,63004133,AUTO-MATCH,
BRANA-35263000,63004535,AUTO-MATCH,
BRANA-35275000,63001276,MATCHED,
BRANA-35283000,63001267,AUTO-MATCH,
BRANA-35301000,63001578,AUTO-MATCH,
BRANA-35350000,63001455,AUTO-MATCH,
BRANA-35370000,63001358,AUTO-MATCH,
BRANA-35370600,63001676,MATCHED,
BRANA-35390000,63001710,AUTO-MATCH,
BRANA-35551000,63004304,AUTO-MATCH,
BRANA-35570000,63001246,AUTO-MATCH,
BRANA-35668000,63001456,AUTO-MATCH,
BRANA-35669100,63003822,AUTO-MATCH,
BRANA-35830000,63004312,AUTO-MATCH,
BRANA-35875500,63004149,AUTO-MATCH,
BRANA-35900000,63004135,AUTO-MATCH,
BRANA-35950000,63004226,AUTO-MATCH,
BRANA-36020000,63011243,AUTO-MATCH,
BRANA-36045000,63011670,AUTO-MATCH,
BRANA-36070000,63011136,AUTO-MATCH,
BRANA-36125000,63011669,AUTO-MATCH,
BRANA-36130000,63011647,AUTO-MATCH,
BRANA-36160000,63011127,AUTO-MATCH,
BRANA-36210000,63011843,AUTO-MATCH,
BRANA-36220000,63015151,AUTO-MATCH,
BRANA-36250000,63011308,AUTO-MATCH,
BRANA-36260000,63011280,AUTO-MATCH,
BRANA-36270000,63011272,MATCHED,
BRANA-36290000,63011261,AUTO-MATCH,
BRANA-36320000,63006938,AUTO-MATCH,
BRANA-36386000,63007698,AUTO-MATCH,
BRANA-36390000,63006921,MATCHED,
BRANA-36470000,63007604,AUTO-MATCH,
BRANA-36515000,63007583,AUTO-MATCH,
BRANA-36520000,63006968,AUTO-MATCH,
BRANA-36580000,63006953,AUTO-MATCH,
BRANA-36586000,63007667,AUTO-MATCH,
BRANA-36628000,63003546,AUTO-MATCH,
BRANA-37030000,63007264,AUTO-MATCH,
